127.0.0.1 - - [11/Jul/2024:10:53:22 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:53:32 +0545] "GET /Jsp_college/ HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:53:34 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:53:52 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:55:13 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:55:14 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:00:05 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:00:37 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:00:51 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:03:16 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1897
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:20:59 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:21:37 +0545] "GET /Jsp_college/Registration HTTP/1.1" 200 1904
